تاریخ,ساعت,مسابقات,فصل,عنوان,حریف,گل زده,گل خورده,تفاضل گل,امتیاز,بازی در خانه,لینک بازی
1400/09/14,15:00,لیگ برتر ایران,1400-1401,هفته 8,فجر سپاسی,1,1,0,1,0,https://video.varzesh3.com/video/242757/
1400/09/19,18:00,لیگ برتر ایران,1400-1401,هفته 9,نساجی مازندران,1,1,0,1,1,https://video.varzesh3.com/video/243045/
1400/09/24,17:00,لیگ برتر ایران,1400-1401,هفته 10,گل گهر سیرجان,1,0,1,3,0,https://video.varzesh3.com/video/243317/
1400/09/28,17:00,جام حذفی ایران,1400-1401,1/16 نهایی,شهرداری نوشهر,3,0,3,3,1,https://video.varzesh3.com/video/243525/
1400/10/03,17:00,لیگ برتر ایران,1400-1401,هفته 11,صنعت نفت آبادان,0,0,0,1,1,https://video.varzesh3.com/video/243765/
1400/10/08,18:00,لیگ برتر ایران,1400-1401,هفته 12,استقلال,0,1,-1,0,0,https://video.varzesh3.com/video/244025/
1400/10/13,17:00,لیگ برتر ایران,1400-1401,هفته 13,پیکان,1,1,0,1,1,https://video.varzesh3.com/video/244257/
1400/10/18,17:00,لیگ برتر ایران,1400-1401,هفته 14,سپاهان,1,2,-1,0,0,https://video.varzesh3.com/video/244564/
1400/10/23,16:00,لیگ برتر ایران,1400-1401,هفته 15,شهرخودرو مشهد,2,0,2,3,1,https://video.varzesh3.com/video/244861/
1399/10/29,16:40,لیگ برتر ایران,1399-1400,هفته 11,پرسپولیس,1,2,-1,0,0,https://video.varzesh3.com/video/226289/
1399/11/06,15:00,لیگ برتر ایران,1399-1400,هفته 12,ماشین سازی تبریز,1,0,1,3,0,https://video.varzesh3.com/video/226647/
1399/11/11,17:10,لیگ برتر ایران,1399-1400,هفته 13,پیکان,0,0,0,1,1,https://video.varzesh3.com/video/226987/
1399/11/17,16:00,لیگ برتر ایران,1399-1400,هفته 14,صنعت نفت آبادان,1,1,0,1,0,https://video.varzesh3.com/video/227316/
1399/11/25,16:00,لیگ برتر ایران,1399-1400,هفته 15,شهرخودرو مشهد,2,0,2,3,1,https://video.varzesh3.com/video/227936/
1399/12/11,17:35,لیگ برتر ایران,1399-1400,هفته 16,ذوب آهن,1,0,1,3,1,https://video.varzesh3.com/video/228918/
1399/12/16,17:30,لیگ برتر ایران,1399-1400,هفته 17,استقلال,0,1,-1,0,0,https://video.varzesh3.com/video/229220/
1399/12/21,15:15,جام حذفی ایران,1399-1400,1/16 نهایی,ماشین سازی تبریز,3,0,3,3,0,https://video.varzesh3.com/video/229495/
1400/01/12,16:30,لیگ برتر ایران,1399-1400,هفته 19,آلومینیوم اراک,0,0,0,1,0,https://video.varzesh3.com/video/230609/
1400/01/21,20:20,لیگ نخبگان آسیا,2021,پلی‌آف,العین امارات,4,0,4,3,1,https://video.varzesh3.com/video/231098/
1400/01/25,22:30,لیگ نخبگان آسیا,2021,هفته 1,السد,1,1,0,1,0,https://video.varzesh3.com/video/231323/
1400/01/28,22:30,لیگ نخبگان آسیا,2021,هفته 1,الوحدات اردن,1,0,1,3,1,https://video.varzesh3.com/video/231492/
1400/01/31,22:30,لیگ نخبگان آسیا,2021,هفته 1,النصر,1,1,0,1,1,https://video.varzesh3.com/video/231624/
1400/02/03,22:30,لیگ نخبگان آسیا,2021,هفته 1,النصر,0,2,-2,0,0,https://video.varzesh3.com/video/231767/
1400/02/06,22:30,لیگ نخبگان آسیا,2021,هفته 1,السد,0,1,-1,0,1,https://video.varzesh3.com/video/231918/
1400/02/09,22:30,لیگ نخبگان آسیا,2021,هفته 1,الوحدات اردن,0,1,-1,0,0,https://video.varzesh3.com/video/232063/
1400/02/18,21:00,لیگ برتر ایران,1399-1400,هفته 18,گل گهر سیرجان,1,0,1,3,1,https://video.varzesh3.com/video/232476/
1400/02/24,18:25,لیگ برتر ایران,1399-1400,هفته 23,نساجی مازندران,0,1,-1,0,0,https://video.varzesh3.com/video/232858/
1400/02/29,19:15,جام حذفی ایران,1399-1400,1/8 نهایی,قشقایی شیراز,2,1,1,3,0,https://video.varzesh3.com/video/233128/
1400/03/03,20:45,لیگ برتر ایران,1399-1400,هفته 20,تراکتور,1,1,0,1,1,https://video.varzesh3.com/video/233376/
1400/03/08,19:40,لیگ برتر ایران,1399-1400,هفته 21,سایپا,1,2,-1,0,0,https://video.varzesh3.com/video/233614/
1400/04/01,20:50,لیگ برتر ایران,1399-1400,هفته 22,نفت مسجدسلیمان,2,0,2,3,1,https://video.varzesh3.com/video/234625/
1400/04/06,20:45,لیگ برتر ایران,1399-1400,هفته 24,سپاهان,0,0,0,1,1,https://video.varzesh3.com/video/234873/
1400/04/10,20:30,لیگ برتر ایران,1399-1400,هفته 25,مس رفسنجان,1,2,-1,0,0,https://video.varzesh3.com/video/235091/
1398/11/11,17:00,لیگ برتر ایران,1398-1399,هفته 18,سپاهان,1,2,-1,0,0,https://video.varzesh3.com/video/208867/
1398/11/16,16:00,لیگ برتر ایران,1398-1399,هفته 19,شهرخودرو مشهد,2,0,2,3,1,https://video.varzesh3.com/video/209200/
1398/11/25,15:30,لیگ برتر ایران,1398-1399,هفته 20,پیکان,2,1,1,3,0,https://video.varzesh3.com/video/209870/
1398/12/08,16:00,لیگ برتر ایران,1398-1399,هفته 21,شاهین شهرداری بوشهر,1,0,1,3,1,https://video.varzesh3.com/video/210608/
1399/04/04,21:00,لیگ برتر ایران,1398-1399,هفته 17,استقلال,2,1,1,3,1,https://video.varzesh3.com/video/216119/
1399/04/09,21:00,لیگ برتر ایران,1398-1399,هفته 22,ماشین سازی تبریز,2,1,1,3,1,https://video.varzesh3.com/video/216380/
1399/04/28,21:00,لیگ برتر ایران,1398-1399,هفته 25,پرسپولیس,0,1,-1,0,0,https://video.varzesh3.com/video/217374/
1399/05/02,21:00,لیگ برتر ایران,1398-1399,هفته 26,ذوب آهن,2,1,1,3,1,https://video.varzesh3.com/video/217603/
1399/05/06,20:45,لیگ برتر ایران,1398-1399,هفته 23,نساجی مازندران,2,3,-1,0,0,https://video.varzesh3.com/video/217806/
1399/05/11,20:15,لیگ برتر ایران,1398-1399,هفته 27,گل گهر سیرجان,0,0,0,1,0,https://video.varzesh3.com/video/218054/
1399/05/16,21:00,لیگ برتر ایران,1398-1399,هفته 24,نفت مسجدسلیمان,1,0,1,3,1,https://video.varzesh3.com/video/218298/
1399/05/20,20:30,لیگ برتر ایران,1398-1399,هفته 28,سایپا,0,0,0,1,1,https://video.varzesh3.com/video/218509/
1399/05/25,20:45,لیگ برتر ایران,1398-1399,هفته 29,پارس جنوبی جم,0,0,0,1,0,https://video.varzesh3.com/video/218789/
1399/05/30,20:45,لیگ برتر ایران,1398-1399,هفته 30,تراکتور,1,0,1,3,1,https://video.varzesh3.com/video/219044/
1399/08/16,16:30,لیگ برتر ایران,1399-1400,هفته 1,ذوب آهن,2,2,0,1,0,https://video.varzesh3.com/video/222567/
1399/08/30,16:40,لیگ برتر ایران,1399-1400,هفته 2,استقلال,2,1,1,3,1,https://video.varzesh3.com/video/223226/
