تاریخ,ساعت,مسابقات,فصل,عنوان,حریف,گل زده,گل خورده,تفاضل گل,امتیاز,بازی در خانه,لینک بازی
1403/11/06,15:45,لیگ برتر ایران,1403-1404,هفته 17,ملوان,0,0,0,1,0,https://video.varzesh3.com/video/366083/خلاصه-بازی-ملوان-0-استقلال-0
1403/11/11,17:00,لیگ برتر ایران,1403-1404,هفته 18,استقلال خوزستان,2,0,2,3,1,https://video.varzesh3.com/video/366659/خلاصه-بازی-استقلال-2-استقلال-خوزستان-0
1403/11/15,19:30,لیگ نخبگان آسیا,2024-2025,هفته 7,الشرطه عراق,1,1,0,1,1,https://video.varzesh3.com/video/367144/خلاصه-بازی-استقلال-ایران-1-الشرطه-عراق-1-گزارش-اختصاصی
1403/11/19,16:45,لیگ برتر ایران,1403-1404,هفته 19,مس رفسنجان,0,0,0,1,0,https://video.varzesh3.com/video/367577/خلاصه-بازی-مس-رفسنجان-0-استقلال-0
1403/11/25,15:30,جام حذفی ایران,,یک هشتم نهایی,شمس آذر قزوین,2,1,1,3,0,https://video.varzesh3.com/video/368187/خلاصه-بازی-شمس-آذر-قزوین-1-استقلال-2
1402/09/23,16:15,لیگ برتر ایران,1402-1403,هفته 5,پرسپولیس,1,1,0,1,0,https://video.varzesh3.com/video/319422/خلاصه-بازی-پرسپولیس-1-استقلال-1
1402/09/28,17:30,لیگ برتر ایران,1402-1403,هفته 13,نساجی مازندران,4,0,4,3,1,https://video.varzesh3.com/video/319892/خلاصه-بازی-استقلال-4-نساجی-0
1402/10/03,15:00,لیگ برتر ایران,1402-1403,هفته 14,گل گهر سیرجان,1,1,0,1,0,https://video.varzesh3.com/video/320289/خلاصه-بازی-گل-گهر-1-استقلال-1
1402/10/09,16:30,لیگ برتر ایران,1402-1403,هفته 15,پیکان,2,1,1,3,1,https://video.varzesh3.com/video/320798/خلاصه-بازی-استقلال-2-پیکان-1
1402/11/27,17:15,لیگ برتر ایران,1402-1403,هفته 16,صنعت نفت آبادان,1,0,1,3,1,https://video.varzesh3.com/video/324865/خلاصه-بازی-استقلال-1-صنعت-نفت-آبادان-0
1402/12/03,17:15,لیگ برتر ایران,1402-1403,هفته 17,ملوان,1,1,0,1,0,https://video.varzesh3.com/video/325415/خلاصه-بازی-ملوان-1-استقلال-1
1402/12/08,17:15,لیگ برتر ایران,1402-1403,هفته 18,سپاهان,1,0,1,3,1,https://video.varzesh3.com/video/325868/خلاصه-بازی-استقلال-1-سپاهان-0
1402/12/14,17:00,جام حذفی ایران,1402-1403,یک شانزدهم نهایی,مس رفسنجان,0,2,-2,0,0,https://video.varzesh3.com/video/326396/خلاصه-بازی-مس-رفسنجان-2-استقلال-0
