تاریخ,ساعت,مسابقات,فصل,عنوان,حریف,گل زده,گل خورده,تفاضل گل,امتیاز,بازی در خانه,لینک بازی
1403/02/27,19:30,جام حذفی ایران,1402-1403,یک چهارم نهایی,ملوان,1,0,1,3,1,https://video.varzesh3.com/video/332960/خلاصه-بازی-سپاهان-1-ملوان-0
1403/03/04,19:45,لیگ برتر ایران,1402-1403,هفته 28,هوادار,2,0,2,3,1,https://video.varzesh3.com/video/333608/خلاصه-بازی-سپاهان-2-هوادار-0
1403/03/08,20:00,لیگ برتر ایران,1402-1403,هفته 29,آلومینیوم اراک,1,0,1,3,0,https://video.varzesh3.com/video/334056/خلاصه-بازی-آلومینیوم-اراک-0-سپاهان-1
1402/01/18,21:30,لیگ برتر ایران,1401-1402,هفته 25,تراکتور,0,1,-1,0,0,https://video.varzesh3.com/video/277151/خلاصه-بازی-تراکتور-1-سپاهان-0
1402/01/26,20:45,لیگ برتر ایران,1401-1402,هفته 26,مس رفسنجان,2,0,2,3,1,https://video.varzesh3.com/video/297900/خلاصه-بازی-سپاهان-2-مس-رفسنجان-0
1402/02/04,18:30,لیگ برتر ایران,1401-1402,هفته 27,ملوان,1,1,0,1,1,https://video.varzesh3.com/video/298781/خلاصه-بازی-سپاهان-1-ملوان-1
1402/02/15,18:00,لیگ برتر ایران,1401-1402,هفته 28,نفت مسجدسلیمان,2,0,2,3,0,https://video.varzesh3.com/video/299815/خلاصه-بازی-نفت-مسجدسلیمان-0-سپاهان-2
1402/02/22,18:00,لیگ برتر ایران,1401-1402,هفته 29,پیکان,5,0,5,3,1,https://video.varzesh3.com/video/300492/خلاصه-بازی-سپاهان-5-پیکان-0
1402/02/28,18:00,لیگ برتر ایران,1401-1402,هفته 30,مس کرمان,2,1,1,3,0,https://video.varzesh3.com/video/301132/خلاصه-بازی-مس-کرمان-1-سپاهان-2
1402/04/20,18:30,دوستانه,باشگاهی,,الکویت,1,0,1,3,0,
1402/05/19,19:00,لیگ برتر ایران,1402-1403,هفته 1,تراکتور,3,1,2,3,1,https://video.varzesh3.com/video/307412/خلاصه-بازی-سپاهان-3-تراکتور-1
1402/05/25,21:00,لیگ برتر ایران,1402-1403,هفته 2,ذوب آهن,2,0,2,3,0,https://video.varzesh3.com/video/308048/خلاصه-بازی-ذوب-اهن-0-سپاهان-2
1402/06/01,20:00,لیگ برتر ایران,1402-1403,هفته 3,استقلال,1,0,1,3,1,https://video.varzesh3.com/video/308659/خلاصه-بازی-سپاهان-1-استقلال-0
1402/06/07,19:30,لیگ برتر ایران,1402-1403,هفته 4,پیکان,3,1,2,3,0,https://video.varzesh3.com/video/309435/خلاصه-بازی-پیکان-1-سپاهان-3
1402/06/16,20:00,دوستانه,باشگاهی,,زنیت,1,4,-3,0,0,https://video.varzesh3.com/video/310169/خلاصه-بازی-زنیت-4-سپاهان-1
1402/06/27,19:30,لیگ نخبگان آسیا,2023-2024,هفته 1,نیروی هوایی عراق,2,2,0,1,0,https://video.varzesh3.com/video/311012/خلاصه-بازی-نیروی-هوایی-عراق-2-سپاهان-2
1402/07/10,19:30,لیگ نخبگان آسیا,2023-2024,هفته 2,الاتحاد,0,3,-3,0,1,
1402/07/15,19:45,لیگ برتر ایران,1402-1403,هفته 7,صنعت نفت آبادان,4,1,3,3,1,https://video.varzesh3.com/video/313009/خلاصه-بازی-سپاهان-4-صنعت-نفت-آبادان-1
1402/08/01,17:30,لیگ نخبگان آسیا,2023-2024,هفته 3,آلمالیق,3,1,2,3,0,https://video.varzesh3.com/video/314377/خلاصه-بازی-آلمالیق-1-سپاهان-3-گزارش-اختصاصی
1402/08/07,15:00,لیگ برتر ایران,1402-1403,هفته 8,نساجی مازندران,1,1,0,1,0,https://video.varzesh3.com/video/314992/خلاصه-بازی-نساجی-1-سپاهان-1
1402/08/11,16:30,لیگ برتر ایران,1402-1403,هفته 9,ملوان,2,3,-1,0,1,https://video.varzesh3.com/video/315425/خلاصه-بازی-سپاهان-2-ملوان-3
1402/08/15,21:30,لیگ نخبگان آسیا,2023-2024,هفته 4,آلمالیق,9,0,9,3,1,https://video.varzesh3.com/video/315873/خلاصه-بازی-سپاهان-9-آلمالیق-0
1402/08/21,16:30,لیگ برتر ایران,1402-1403,هفته 10,پرسپولیس,1,0,1,3,1,https://video.varzesh3.com/video/316520/خلاصه-بازی-سپاهان-1-پرسپولیس-0
1402/09/02,16:45,لیگ برتر ایران,1402-1403,هفته 11,استقلال خوزستان,3,1,2,3,0,https://video.varzesh3.com/video/317457/خلاصه-بازی-استقلال-خوزستان-1-سپاهان-3
1402/09/06,21:30,لیگ نخبگان آسیا,2023-2024,هفته 5,نیروی هوایی عراق,1,0,1,3,1,https://video.varzesh3.com/video/317872/خلاصه-بازی-سپاهان-1-نیروهوایی-عراق-0
1402/09/13,21:30,لیگ نخبگان آسیا,2023-2024,هفته 6,الاتحاد,1,2,-1,0,0,https://video.varzesh3.com/video/318483/خلاصه-بازی-الاتحاد-۲-سپاهان-1
1402/09/18,15:00,لیگ برتر ایران,1402-1403,هفته 12,مس رفسنجان,4,1,3,3,1,https://video.varzesh3.com/video/318947/خلاصه-بازی-سپاهان-4-مس-رفسنجان-1
1401/06/09,19:00,لیگ برتر ایران,1401-1402,هفته 4,فولاد,0,1,-1,0,1,https://video.varzesh3.com/video/259003/
