تاریخ,ساعت,مسابقات,فصل,عنوان,حریف,گل زده,گل خورده,تفاضل گل,امتیاز,بازی در خانه,لینک بازی
1386/01/17,17:00,لیگ برتر ایران,1385-1386,هفته 24,مس کرمان,4,1,3,3,1,
1386/01/26,16:00,لیگ برتر ایران,1385-1386,هفته 25,فجر سپاسی,1,1,0,1,0,
1386/02/02,16:30,لیگ برتر ایران,1385-1386,هفته 26,فولاد,2,1,1,3,1,
1386/02/09,17:00,لیگ برتر ایران,1385-1386,هفته 27,صبای قم,1,0,1,3,0,
1386/02/14,16:30,لیگ برتر ایران,1385-1386,هفته 28,ملوان,1,0,1,3,1,
1386/02/28,16:30,لیگ برتر ایران,1385-1386,هفته 29,راه‌آهن,2,1,1,3,0,
1386/03/06,16:30,لیگ برتر ایران,1385-1386,هفته 30,ذوب آهن,3,1,2,3,1,
1386/05/25,19:15,لیگ برتر ایران,1386-1387,هفته 1,صنعت نفت آبادان,3,2,1,3,0,
1386/06/02,19:15,لیگ برتر ایران,1386-1387,هفته 2,پگاه گیلان,2,0,2,3,1,
1386/06/07,16:15,لیگ برتر ایران,1386-1387,هفته 3,ابومسلم,3,0,3,3,0,
1386/06/16,18:50,لیگ برتر ایران,1386-1387,هفته 4,پیکان,2,1,1,3,1,
1384/10/15,15:00,لیگ برتر ایران,1384-1385,هفته 17,سایپا,2,2,0,1,0,
1384/10/20,15:00,لیگ برتر ایران,1384-1385,هفته 18,پاس همدان,1,2,-1,0,0,
1384/10/30,15:00,لیگ برتر ایران,1384-1385,هفته 19,شموشک نوشهر,2,1,1,3,1,
1384/11/06,15:00,لیگ برتر ایران,1384-1385,هفته 20,شهید قندی یزد,2,0,2,3,0,
1384/11/14,15:00,لیگ برتر ایران,1384-1385,هفته 21,فولاد,2,3,-1,0,1,
1384/11/23,14:00,لیگ برتر ایران,1384-1385,هفته 22,ذوب آهن,0,3,-3,0,0,
1384/11/28,16:15,لیگ برتر ایران,1384-1385,هفته 23,برق شیراز,2,1,1,3,1,
1384/12/19,15:00,لیگ برتر ایران,1384-1385,هفته 25,استقلال,0,0,0,1,1,
1384/12/26,14:30,لیگ برتر ایران,1384-1385,هفته 26,ملوان,3,1,2,3,0,
