تاریخ,ساعت,مسابقات,فصل,عنوان,حریف,گل زده,گل خورده,تفاضل گل,امتیاز,بازی در خانه,لینک بازی
1402/02/15,18:00,لیگ برتر ایران,1401-1402,هفته 28,فولاد,2,0,2,3,1,https://video.varzesh3.com/video/299816/خلاصه-بازی-ذوب-آهن-2-فولاد-0
1402/02/22,18:00,لیگ برتر ایران,1401-1402,هفته 29,صنعت نفت آبادان,1,1,0,1,0,https://video.varzesh3.com/video/300493/خلاصه-بازی-صنعت-نفت-1-ذوب-آهن-1
1402/02/28,18:00,لیگ برتر ایران,1401-1402,هفته 30,هوادار,3,3,0,1,1,https://video.varzesh3.com/video/301135/خلاصه-بازی-ذوب-آهن-3-هوادار-3
1402/05/18,19:30,لیگ برتر ایران,1402-1403,هفته 1,ملوان,2,1,1,3,0,https://video.varzesh3.com/video/307282/خلاصه-بازی-ملوان-1-ذوب-آهن-2
1402/05/25,21:00,لیگ برتر ایران,1402-1403,هفته 2,سپاهان,0,2,-2,0,1,https://video.varzesh3.com/video/308048/خلاصه-بازی-ذوب-اهن-0-سپاهان-2
1402/06/02,19:30,لیگ برتر ایران,1402-1403,هفته 3,پرسپولیس,1,1,0,1,0,https://video.varzesh3.com/video/308784/خلاصه-بازی-پرسپولیس-1-ذوب-آهن-1
1402/06/08,19:30,لیگ برتر ایران,1402-1403,هفته 4,هوادار,0,0,0,1,1,https://video.varzesh3.com/video/309547/خلاصه-بازی-ذوب-آهن-0-هوادار-0
1402/06/30,19:00,لیگ برتر ایران,1402-1403,هفته 5,استقلال خوزستان,2,1,1,3,0,https://video.varzesh3.com/video/311337/خلاصه-بازی-استقلال-خوزستان-1-ذوب-آهن-2
1402/07/13,17:15,لیگ برتر ایران,1402-1403,هفته 7,شمس آذر قزوین,2,1,1,3,0,https://video.varzesh3.com/video/312772/خلاصه-بازی-شمس-آذر-1-ذوب-آهن-2
1402/07/29,18:00,لیگ برتر ایران,1402-1403,هفته 6,مس رفسنجان,1,2,-1,0,1,https://video.varzesh3.com/video/314176/خلاصه-بازی-ذوب-آهن-1-مس-رفسنجان-2
1402/08/05,18:00,لیگ برتر ایران,1402-1403,هفته 8,تراکتور,1,0,1,3,1,https://video.varzesh3.com/video/314780/خلاصه-بازی-ذوب-آهن-1-تراکتور-0
1402/08/11,15:00,لیگ برتر ایران,1402-1403,هفته 9,آلومینیوم اراک,1,1,0,1,0,https://video.varzesh3.com/video/315407/خلاصه-بازی-آلومینیوم-1-ذوب-آهن-1
1402/08/21,15:00,لیگ برتر ایران,1402-1403,هفته 10,نساجی مازندران,2,1,1,3,0,https://video.varzesh3.com/video/316501/خلاصه-بازی-نساجی-1-ذوب-آهن-2
1402/09/04,17:30,لیگ برتر ایران,1402-1403,هفته 11,استقلال,1,1,0,1,1,https://video.varzesh3.com/video/317685/خلاصه-بازی-ذوب-آهن-1-استقلال-1
1402/09/17,15:00,لیگ برتر ایران,1402-1403,هفته 12,پیکان,0,0,0,1,0,https://video.varzesh3.com/video/318825/خلاصه-بازی-پیکان-0-ذوب-آهن-0
1402/09/28,16:30,لیگ برتر ایران,1402-1403,هفته 13,فولاد,0,0,0,1,1,https://video.varzesh3.com/video/319876/خلاصه-بازی-ذوب-آهن-0-فولاد-0
1402/10/04,15:00,لیگ برتر ایران,1402-1403,هفته 14,صنعت نفت آبادان,1,0,1,3,0,https://video.varzesh3.com/video/320426/خلاصه-بازی-صنعت-نفت-0-ذوب-آهن-1
1402/10/13,15:00,لیگ برتر ایران,1402-1403,هفته 15,گل گهر سیرجان,0,0,0,1,1,https://video.varzesh3.com/video/321137/خلاصه-بازی-ذوب-آهن-0-گل-گهر-0
1402/11/19,15:00,جام حذفی ایران,1402-1403,یک شانزدهم نهایی,آکادمی کیا تهران,3,0,3,3,1,https://video.varzesh3.com/video/324151/خلاصه-بازی-ذوب-آهن-3-آکادمی-کیا-تهران-0
1402/11/26,15:00,لیگ برتر ایران,1402-1403,هفته 16,ملوان,0,1,-1,0,1,https://video.varzesh3.com/video/324743/خلاصه-بازی-ذوب-آهن-0-ملوان-1
1401/05/22,19:00,لیگ برتر ایران,1401-1402,هفته 1,پرسپولیس,0,0,0,1,1,https://video.varzesh3.com/video/257350/
1401/05/28,18:30,لیگ برتر ایران,1401-1402,هفته 2,تراکتور,1,1,0,1,0,https://video.varzesh3.com/video/257884/
1401/06/03,19:00,لیگ برتر ایران,1401-1402,هفته 3,مس رفسنجان,0,0,0,1,1,https://video.varzesh3.com/video/258363/
